id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,disconnects,cell_traffic,cell_dropped_traffic,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_operation_pc,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[1905. 1932.  243.  249.],10081.0,201.60000000059856,[130.879  32.646   4.972  33.103],7139.153105889928,1068.0,59679.0,2167.0,54037500000.0,0.0,24535.0,35.40895301006852,1.0508282908442896,15.828191647654002,35.53484972262138,164.6685507875888,13.557189362299761,2.8940581291538536,0.17567701616903084,[0.649 0.162 0.025 0.164],0.41111613800499336,0.0,268043154.76110893,[9.449 9.583 1.205 1.235],5.297619047603319
1,[4708. 4762.   97.  157.],10081.0,201.60000000059856,[101.543  79.757   1.455  18.845],6748.179765696741,2556.0,254167.0,9541.0,52593000000.0,0.0,222627.0,33.46979350112481,0.7376252355917564,15.737526039083424,32.774702820812735,137.99458669414892,6.546912037342408,1.7188770955262376,0.2198194623549251,[0.504 0.396 0.007 0.093],0.8759083594644466,0.0,260877976.18970165,[23.353 23.621  0.481  0.779],12.678571428533786
2,[3141. 3341.  101.  519.],10081.0,201.60000000059856,[81.962 27.973  1.58  90.085],5343.276804127027,2356.0,230405.0,2130.0,44349000000.0,0.0,202878.0,26.501720087922884,0.511080249975206,15.706775121515722,25.3640303869384,102.22760098426772,5.006357164290005,1.3124690010911615,0.32972919353238767,[0.407 0.139 0.008 0.447],0.8805277663245156,0.0,219985119.0469659,[15.58  16.572  0.501  2.574],11.68650793647324
3,[4934. 4991.  279.  112.],10081.0,201.60000000059856,[104.405  79.016   4.678  13.501],6851.120670425929,1408.0,270245.0,7128.0,51259500000.0,0.0,240267.0,33.980362416555444,0.7488741196310471,15.887312766590616,33.015337154667485,138.51067733523632,6.104837745110463,1.664021426445789,0.10316436861422477,[0.518 0.392 0.023 0.067],0.8890710281411311,0.0,254263392.85638794,[24.474 24.757  1.384  0.556],6.984126984106248
4,[1957. 1980.  240.  249.],10081.0,201.60000000059856,[131.363  32.35    4.763  33.124],7148.030867250385,1172.0,61499.0,2062.0,54570000000.0,0.0,25950.0,35.45298515648503,1.0519988096420287,15.818073603809147,35.54210259952743,164.16529072013128,13.457676742243361,2.877690705287174,0.17597460569387957,[0.652 0.16  0.024 0.164],0.42195808061919704,0.0,270684523.8087201,[9.707 9.821 1.19  1.235],5.813492063474803
5,[3602. 3705.  307.  528.],10081.0,201.60000000059856,[93.331 34.504  5.366 68.399],5846.402960501063,4604.0,245085.0,4494.0,49423500000.0,0.0,215619.0,28.997137984828225,0.6152167443706238,15.177660946334688,27.984029998561148,115.95963335516649,5.6898616371769695,1.4956849518896935,0.279535760341236,[0.463 0.171 0.027 0.339],0.8797723238876308,0.0,245156249.99927214,[17.867 18.378  1.523  2.619],22.83730158723378
6,[4523. 4656.  251.  343.],10081.0,201.60000000059856,[105.663  48.424   3.612  43.901],6491.037794337087,4544.0,264145.0,4295.0,60744000000.0,0.0,227381.0,32.1944142165324,0.6553318123202367,15.48259101279635,30.337633009255104,143.93923286521292,6.3050577965743075,1.7555798035909136,0.1963098898918758,[0.524 0.24  0.018 0.218],0.8608188684245396,0.0,301309523.8086292,[22.436 23.095  1.245  1.701],22.53968253961562
7,[3808. 4028.  260.  493.],10081.0,201.60000000059856,[85.908 48.461  3.963 63.268],5817.067559306818,7736.0,288233.0,9553.0,60744000000.0,0.0,252437.0,28.85163951645089,0.5719273881559476,14.82095030254935,28.226119684640892,134.77972232521256,6.102319556471358,1.662930264854677,0.2561253843864696,[0.426 0.24  0.02  0.314],0.8758088074578553,0.0,301309523.8086292,[18.889 19.98   1.29   2.445],38.373015872901945
8,[4128. 4337.  225.  430.],10081.0,201.60000000059856,[96.396 47.756  3.438 54.01 ],6170.906050018278,5240.0,278728.0,5954.0,60751500000.0,0.0,241949.0,30.606616655185245,0.6072810237079852,15.319511953179248,29.193285991643283,140.91292484127257,6.140849069592389,1.7086598551730978,0.2373772443209999,[0.478 0.237 0.017 0.268],0.8680469848741426,0.0,301346726.1895815,[20.476 21.513  1.116  2.133],25.992063491986322
9,[3845. 3931.  331.  513.],10081.0,201.60000000059856,[92.081 39.087  4.985 65.447],5868.07325963806,3832.0,267210.0,4456.0,48370500000.0,0.0,238079.0,29.104618885220365,0.6154944945938166,15.483979763912311,28.124885671797912,118.74710524479957,5.215240403873559,1.434381509770856,0.23291340144826903,[0.457 0.194 0.025 0.325],0.8909808764642042,0.0,239933035.71357334,[19.072 19.499  1.642  2.545],19.00793650788007
10,[3628. 3719.  200.  558.],10081.0,201.60000000059856,[95.588 31.088  3.184 71.74 ],5904.242600441383,3616.0,252652.0,3731.0,57742500000.0,0.0,218111.0,29.28401250094932,0.6200773732764887,15.550044638428727,27.995333522717644,138.88585006126826,6.1113180345417035,1.6938795754389446,0.3065172105941871,[0.474 0.154 0.016 0.356],0.8632862593607017,0.0,286421130.9515306,[17.996 18.447  0.992  2.768],17.93650793645468
11,[4402. 4565.  187.  360.],10081.0,201.60000000059856,[110.425  42.86    2.598  45.717],6571.567614423313,4784.0,262015.0,2698.0,60742500000.0,0.0,224427.0,32.593828064792575,0.6622160499950731,15.450649737129254,30.347862455373654,149.092657756275,6.362647943806347,1.7994246602519592,0.18351354032338063,[0.548 0.213 0.013 0.227],0.8565425643570025,0.0,301302083.33243877,[21.835 22.644  0.928  1.786],23.730158730088274
12,[4447. 4613.  186.  363.],10081.0,201.60000000059856,[110.414  43.159   2.488  45.539],6590.972974434474,4184.0,263937.0,2610.0,60781500000.0,0.0,225050.0,32.69007526254652,0.6540819363158741,15.483384584862613,30.28429956316295,152.00034691967733,6.3675623382990905,1.8165856561849023,0.17805773236782066,[0.548 0.214 0.012 0.226],0.8526655982298806,0.0,301495535.7133906,[22.059 22.882  0.923  1.801],20.753968253906635
13,[4296. 4483.  186.  379.],10081.0,201.60000000059856,[107.426  44.159   2.517  47.498],6500.028877997761,3842.0,262025.0,2871.0,60733500000.0,0.0,224743.0,32.23900842177345,0.6510862017657308,15.628409879972224,30.081475809254908,146.6999959442834,6.337744989714439,1.7763118738220414,0.19769864100783652,[0.533 0.219 0.012 0.236],0.8577158668066024,0.0,301257440.475296,[21.31  22.237  0.923  1.88 ],19.0575396824831
14,[3812. 4008.  181.  523.],10081.0,201.60000000059856,[92.767 37.151  3.359 68.323],5893.933127609908,3148.0,264352.0,4362.0,57436500000.0,0.0,231135.0,29.232879315593397,0.5918063684158545,15.654994544192045,27.87550014161969,134.0215862010328,5.757459151826545,1.6070826306913997,0.2660450352147604,[0.46  0.184 0.017 0.339],0.8743455695436387,0.0,284903273.8086779,[18.909 19.881  0.898  2.594],15.615079365033003
15,[3812. 3923.  213.  521.],10081.0,201.60000000059856,[99.869 33.662  3.846 64.223],6069.622760565428,3732.0,242340.0,3123.0,53326500000.0,0.0,209328.0,30.10426922212856,0.6486658069636262,15.460966173990675,28.799065678147265,135.18644304652827,6.049350728385269,1.6643190159706378,0.285983533379625,[0.495 0.167 0.019 0.319],0.8637781629116118,0.0,264516369.0468337,[18.909 19.459  1.057  2.584],18.5119047618498
16,[4178. 4346.  145.  428.],10081.0,201.60000000059856,[104.638  39.127   2.193  55.642],6287.221984523615,4900.0,255433.0,3564.0,59274000000.0,0.0,221260.0,31.183523383215,0.6402737823628865,15.350858049796647,29.457541799192366,138.8550657126665,6.195372296972863,1.7106437853387562,0.24144430116059915,[0.519 0.194 0.011 0.276],0.8662154067798601,0.0,294017857.1419842,[20.724 21.558  0.719  2.123],24.30555555548339
17,[4195. 4370.  195.  397.],10081.0,201.60000000059856,[107.022  40.433   2.616  51.529],6435.715732208409,4456.0,266013.0,2636.0,60748500000.0,0.0,228084.0,31.920026446823734,0.6379129054657561,15.496081737922825,29.699025589945936,149.69028215123254,6.298714785953083,1.7905961710147802,0.1775617498264061,[0.531 0.201 0.013 0.256],0.8574167427907659,0.0,301331845.23720056,[20.809 21.677  0.967  1.969],22.10317460310898
18,[3835. 4081.  170.  483.],10081.0,201.60000000059856,[99.707 37.962  2.467 61.464],6132.400337228562,3976.0,261275.0,3271.0,59352000000.0,0.0,226672.0,30.415635042301258,0.610733062196234,15.57603412359885,28.70339635768208,139.54739067731583,6.109066520881581,1.6974506497371293,0.2558277948616209,[0.495 0.188 0.012 0.305],0.8675609989474692,0.0,294404761.9038878,[19.023 20.243  0.843  2.396],19.722222222163666
19,[3970. 4109.  158.  502.],10081.0,201.60000000059856,[100.717  37.131   2.479  61.273],6137.635175496578,3060.0,247279.0,3083.0,53079000000.0,0.0,214677.0,30.44159892618155,0.6498760043646817,15.586350560460271,29.052062841513628,134.3212696036858,5.982805322053412,1.6497371292530503,0.25136395198889,[0.5   0.184 0.012 0.304],0.8681570210167463,0.0,263288690.47540876,[19.692 20.382  0.784  2.49 ],15.178571428526363
20,[2722. 2848.  218.  562.],10081.0,201.60000000059856,[93.895 23.099  3.057 81.549],5715.808469171486,1640.0,166774.0,1582.0,48435000000.0,0.0,135918.0,28.34941210778434,0.6876301954171609,15.837516119432596,28.125861465871484,125.9866348303365,7.8145893257304095,1.863406408094435,0.3675230631881758,[0.466 0.115 0.015 0.405],0.814983150850852,0.0,240252976.18976286,[13.502 14.127  1.081  2.788],8.134920634896481
21,[3232. 3327.  166.  529.],10081.0,201.60000000059856,[77.829 28.372  2.148 93.251],5219.405454144762,2172.0,229671.0,2723.0,41425500000.0,0.0,203682.0,25.8873398181959,0.5118936613431273,15.827001289554607,25.098856822516076,98.57361442860632,4.788734206708305,1.2804285289157822,0.3418311675429025,[0.386 0.141 0.011 0.463],0.8868424833783978,0.0,205483630.95177087,[16.032 16.503  0.823  2.624],10.773809523777537
22,[4835. 4848.   40.   47.],10081.0,201.60000000059856,[132.204  63.093   0.646   5.657],7527.501949679676,2676.0,226224.0,1629.0,53326500000.0,0.0,192864.0,37.33509547505026,0.8517012201171206,15.706179942466026,35.01400095019069,160.29957349553075,7.40087772002131,1.995635353635552,0.06368415831762722,[0.656 0.313 0.003 0.028],0.8525355399957564,0.0,264516369.0468337,[23.983 24.048  0.198  0.233],13.273809523770113
23,[3056. 3209.  159.  602.],10081.0,201.60000000059856,[86.673 25.915  2.131 86.881],5498.0660270936205,1568.0,188465.0,2025.0,45211500000.0,0.0,159698.0,27.269447609828585,0.6001190358099617,15.863703997619284,26.750626657771143,110.41972518693697,6.563932276165338,1.6032139668683663,0.38954468802698144,[0.43  0.129 0.011 0.431],0.8473615790730374,0.0,224263392.85647702,[15.159 15.918  0.789  2.986],7.777777777754685
24,[2887. 2956.  166.  564.],10081.0,201.60000000059856,[87.1   24.311  2.307 87.882],5498.516968087354,1478.0,179391.0,1763.0,47491500000.0,0.0,149543.0,27.271684198429465,0.6155143338954735,15.865092748735245,26.832966573146546,115.82933843522537,7.091637007010685,1.701021724035314,0.3840888800714215,[0.432 0.121 0.011 0.436],0.8336148413242582,0.0,235572916.66596726,[14.32  14.663  0.823  2.798],7.331349206327439
